source_id,date,description,pollutant_ppm,biological,results
KiRu28935224,1/4/21 9:17,Bacteria: Giardia Lamblia,0,495.898,Contaminated: Biological
AkLu01628224,1/4/21 9:53,Bacteria: E. coli,0,6.09608,Contaminated: Biological
HaZa21742224,1/4/21 10:37,"Inorganic contaminants: Zinc, Zinc, Lead, Cadmium",2.715,0,Contaminated: Chemical
HaRu19725224,1/4/21 11:04,Clean,0.0288593,9.57E-05,Clean
SoRu35703224,1/4/21 11:29,Bacteria: E. coli,0,22.5009,Contaminated: Biological
AkHa00070224,1/4/21 11:42,Inorganic contaminants: Cadmium,5.46739,0,Contaminated: Chemical
HaSe21346224,1/4/21 11:52,Clean,0.0140376,8.99E-05,Clean
HaYa21468224,1/4/21 12:03,"Inorganic contaminants: Chromium, Barium, Chromium, Lead",6.05137,0,Contaminated: Chemical
SoRu36278224,1/4/21 12:24,Parasite: Cryptosporidium,0,485.162,Contaminated: Biological
AkLu02155224,1/4/21 12:29,"Inorganic contaminants: Selenium, Arsenic",7.64106,0,Contaminated: Chemical
AkRu06938224,1/4/21 12:56,"Inorganic contaminants: Silver, Zinc, Zinc, Lead",1.99096,0,Contaminated: Chemical
AkRu05825224,1/4/21 13:07,Inorganic contaminants: Silver,5.89926,0,Contaminated: Chemical
AkRu05973224,1/4/21 13:44,Clean,0.084344,6.24E-05,Clean
SoRu36313224,1/4/21 13:46,Bacteria: Vibrio cholerae,0,182.88,Contaminated: Biological
KiMr24968224,1/4/21 13:52,Bacteria: E. coli,0,44.2164,Contaminated: Biological
KiRu27916224,1/4/21 14:19,Inorganic contaminants: Zinc,1.06885,0,Contaminated: Chemical
SoRu35508224,1/4/21 14:49,"Inorganic contaminants: Chromium, Zinc",4.15909,0,Contaminated: Chemical
AkHa00706224,1/4/21 16:10,Clean,0.0862577,4.23E-05,Clean
AkHa00465224,1/4/21 16:28,"Inorganic contaminants: Lead, Mercury, Copper",4.97264,0,Contaminated: Chemical
SoRu39241224,1/4/21 16:40,Inorganic contaminants: Copper,1.28796,0,Contaminated: Chemical
HaRu20773224,1/7/21 9:08,Clean,0.0599682,2.42E-05,Clean
SoRu39205224,1/7/21 9:59,Inorganic contaminants: Barium,8.10898,0,Contaminated: Chemical
HaDj16683224,1/7/21 10:16,Virus: Hepatitis A Virus,0,96.6341,Contaminated: Biological
HaRu18434224,1/7/21 11:16,Bacteria: Shigella,0,318.664,Contaminated: Biological
AkRu04914224,1/7/21 11:35,Clean,0.050281,9.43E-05,Clean
HaSe20931224,1/7/21 11:46,Clean,0.0224843,9.88E-05,Clean
AkRu04543224,1/7/21 12:20,"Inorganic contaminants: Copper, Mercury, Lead, Cadmium",3.94125,0,Contaminated: Chemical
KiAm22119224,1/7/21 12:34,"Inorganic contaminants: Selenium, Selenium, Zinc, Chromium",2.17517,0,Contaminated: Chemical
AkLu02211224,1/7/21 12:49,Bacteria: E. coli,0,3.57905,Contaminated: Biological
HaDe16499224,1/7/21 12:53,Parasite: Cryptosporidium,0,485.162,Contaminated: Biological
SoRu39347224,1/7/21 12:54,"Inorganic contaminants: Selenium, Silver",7.07203,0,Contaminated: Chemical
AmAm09579224,1/7/21 13:02,Clean,0.0830754,1.10E-05,Clean
SoCh32247224,1/7/21 14:23,"Inorganic contaminants: Barium, Arsenic, Zinc",2.8855,0,Contaminated: Chemical
HaRu20738224,1/7/21 14:57,Bacteria: E. coli,0,35.2462,Contaminated: Biological
HaAm16229224,1/7/21 15:10,Inorganic contaminants: Mercury,2.43936,0,Contaminated: Chemical
HaRu20104224,1/7/21 15:17,"Inorganic contaminants: Copper, Barium",5.30061,0,Contaminated: Chemical
KiHa23405224,1/7/21 15:29,Clean,0.0633972,5.89E-05,Clean
KiRu27870224,1/7/21 15:46,Bacteria: Shigella,0,318.664,Contaminated: Biological
AmDa11574224,1/7/21 15:51,Clean,0.0290295,6.11E-05,Clean
HaDj16798224,1/7/21 16:30,"Inorganic contaminants: Silver, Zinc",9.30166,0,Contaminated: Chemical
KiRu26713224,1/7/21 16:52,Clean,0.0854418,2.91E-05,Clean
HaRu20701224,1/8/21 9:01,Virus: Hepatitis A Virus,0,96.6341,Contaminated: Biological
SoMa34243224,1/8/21 9:17,Clean,0.0708139,6.22E-05,Clean
AkRu08936224,1/8/21 9:22,Bacteria: E. coli,0.0406458,35.0068,Contaminated: Biological
KiAm22120224,1/8/21 9:23,Virus: Enteroviruses,0,262.668,Contaminated: Biological
AkRu03143224,1/8/21 9:24,"Inorganic contaminants: Cadmium, Arsenic, Selenium, Silver",6.2995,0,Contaminated: Chemical
AkRu03586224,1/8/21 10:12,Virus: Enteroviruses,0,262.668,Contaminated: Biological
AmBe11186224,1/8/21 10:24,Clean,0.0761867,3.16E-05,Clean
KiRu30163224,1/8/21 11:22,"Inorganic contaminants: Arsenic, Lead",5.4852,0,Contaminated: Chemical
KiRu26783224,1/8/21 11:52,Clean,0.0340469,8.69E-05,Clean
AmRu14190224,1/8/21 12:49,"Inorganic contaminants: Zinc, Zinc, Lead, Cadmium",7.56375,0,Contaminated: Chemical
KiRu26584224,1/8/21 13:10,Parasite: Cryptosporidium,0,485.162,Contaminated: Biological
AkLu02295224,1/8/21 13:31,Clean,0.0209784,3.98E-05,Clean
AkRu07845224,1/8/21 13:52,Inorganic contaminants: Arsenic,8.41125,0,Contaminated: Chemical
KiMr25146224,1/8/21 14:02,"Inorganic contaminants: Selenium, Barium, Lead, Zinc",5.31081,0,Contaminated: Chemical
HaRu20767224,1/8/21 14:08,Inorganic contaminants: Chromium,9.53661,0,Contaminated: Chemical
KiRu26837224,1/8/21 14:09,"Inorganic contaminants: Lead, Zinc",2.76116,0,Contaminated: Chemical
